City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Isangel,VU,-19.55,169.2667,27.06,78,75,4.12,broken clouds
273,Havre-Saint-Pierre,CA,50.2334,-63.5986,9.89,84,84,1.54,broken clouds
274,Kieta,PG,-6.2167,155.6333,28.63,73,76,4.41,light rain
275,Cockburn Town,TC,21.4612,-71.1419,28.6,75,68,4.85,broken clouds
276,Chegdomyn,RU,51.1167,133.0167,-0.14,53,59,3.53,broken clouds
277,Conde,BR,-7.2597,-34.9075,23.6,89,3,3.89,clear sky
278,Airai,TL,-8.9266,125.4092,20.19,67,95,1.4,overcast clouds
279,Poum,NC,-20.2333,164.0167,23.87,58,81,3.88,broken clouds
280,Huarmey,PE,-10.0681,-78.1522,16.53,81,3,5.17,clear sky
281,Half Moon Bay,US,37.4636,-122.4286,30.88,67,0,7.2,clear sky
282,Hamilton,US,39.1834,-84.5333,18.91,56,41,1.19,scattered clouds
283,Nhulunbuy,AU,-12.2333,136.7667,31.34,58,20,5.66,few clouds
284,Wewak,PG,-3.5534,143.6268,27.89,80,100,2.81,overcast clouds
285,Bukachacha,RU,52.9833,116.9167,-2.68,51,8,0.97,clear sky
286,Coahuayana,MX,18.7333,-103.6833,27.48,83,29,1.47,scattered clouds
287,Jieshou,CN,33.2634,115.3611,9.6,95,100,3.06,overcast clouds
288,Dukat,RU,62.55,155.55,-10.89,87,100,5.28,light snow
289,Jasper,US,37.2001,-94.3502,26.04,40,75,4.12,broken clouds
290,West Wendover,US,40.7391,-114.0733,23.56,23,0,3.09,clear sky
291,Leningradskiy,RU,69.3833,178.4167,-0.7,87,100,3.7,overcast clouds
292,San Patricio,US,28.017,-97.5169,28.08,47,44,5.44,scattered clouds
293,Talara,PE,-4.5772,-81.2719,18.42,77,0,7.72,clear sky
294,Saint-Joseph,RE,-21.3667,55.6167,19.21,76,29,5.1,scattered clouds
295,East London,ZA,-33.0153,27.9116,18.15,83,100,3.28,overcast clouds
